article_id,total_sentences,count_prop_only,count_fact_only,count_both,count_neither,techniques_in_both,prop_density,fact_density
758756657,70,13,13,5,39,"Causal_Oversimplification,Flag-Waving,Loaded_Language,Slogans",25.71428571428571,25.71428571428571
111111132,114,14,19,2,79,"Name_Calling,Labeling,Whataboutism,Straw_Men,Red_Herring",14.035087719298245,18.421052631578945
790777028,24,4,7,0,13,,16.666666666666664,29.166666666666668
729348908,36,7,6,1,22,"Exaggeration,Minimisation",22.22222222222222,19.444444444444446
738207834,181,59,22,3,97,"Loaded_Language,Name_Calling,Labeling",34.25414364640884,13.812154696132598
701299732,20,2,4,5,9,"Appeal_to_Authority,Appeal_to_fear-prejudice,Name_Calling,Labeling",35.0,45.0
696694316,82,14,18,5,45,"Appeal_to_fear-prejudice,Bandwagon,Reductio_ad_hitlerum,Black-and-White_Fallacy,Loaded_Language,Thought-terminating_Cliches",23.170731707317074,28.04878048780488
795703371,37,6,3,2,26,Loaded_Language,21.62162162162162,13.513513513513514
706600938,42,15,4,1,22,Thought-terminating_Cliches,38.095238095238095,11.904761904761903
722507879,32,2,14,3,13,"Appeal_to_fear-prejudice,Flag-Waving,Loaded_Language,Whataboutism,Straw_Men,Red_Herring",15.625,53.125
999001293,29,8,2,0,19,,27.586206896551722,6.896551724137931
701837665,105,26,17,7,55,"Appeal_to_fear-prejudice,Causal_Oversimplification,Exaggeration,Minimisation,Loaded_Language,Name_Calling,Labeling,Repetition,Thought-terminating_Cliches",31.428571428571427,22.857142857142858
706777811,30,10,8,5,7,"Appeal_to_Authority,Appeal_to_fear-prejudice,Loaded_Language,Repetition",50.0,43.333333333333336
737194975,118,37,16,8,57,"Bandwagon,Reductio_ad_hitlerum,Causal_Oversimplification,Doubt,Flag-Waving,Loaded_Language",38.13559322033898,20.33898305084746
774904810,50,8,7,0,35,,16.0,14.000000000000002
782149225,40,9,11,1,19,Flag-Waving,25.0,30.0
762147609,41,8,8,2,23,"Appeal_to_fear-prejudice,Loaded_Language",24.390243902439025,24.390243902439025
699142854,55,10,3,6,36,"Appeal_to_fear-prejudice,Flag-Waving,Loaded_Language,Repetition",29.09090909090909,16.363636363636363
999001619,93,54,6,11,22,"Causal_Oversimplification,Doubt,Loaded_Language,Name_Calling,Labeling,Repetition",69.89247311827957,18.27956989247312
712382330,25,3,10,3,9,"Appeal_to_Authority,Loaded_Language",24.0,52.0
761780613,7,0,0,1,6,"Loaded_Language,Slogans",14.285714285714285,14.285714285714285
771546417,17,9,0,1,7,Repetition,58.82352941176471,5.88235294117647
999001033,36,13,2,0,21,,36.11111111111111,5.555555555555555
111111124,23,11,1,0,11,,47.82608695652174,4.3478260869565215
788900262,75,15,12,2,46,"Doubt,Flag-Waving",22.666666666666664,18.666666666666668
